"Izdatki gospodinjstev za koncno potro?njo po vrsti proizvodov in namenu, Slovenija, letno",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev",Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),5.8,5.6,5.5,5.6,5.7,6.0,6.0,6.0,5.9,5.9,6.0,5.9,6.1,5.7,6.2,6.5,6.1,5.5,5.1,5.1,4.7,4.9,4.9,4.9,-
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev",Stalne cene predhodnega leta (mio EUR),...,386.2,433.3,475.9,560.5,630.7,676.7,749.2,814.0,876.2,935.6,956.2,1084.5,1083.1,1223.1,1368.8,1300.6,1199.4,1103.5,1130.1,1057.6,1114.9,1164.7,1224.8,...
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev","Stalne cene, referencno leto 2010 (mio EUR)",712.1,740.3,783.4,813.7,911.2,995.4,1033.5,1065.1,1088.4,1115.1,1158.9,1144.7,1250.2,1197.0,1276.9,1378.3,1300.6,1172.2,1076.5,1109.5,1053.7,1126.0,1177.0,1245.8,...
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev",Letna sprememba obsega (%),...,4.0,5.8,3.9,12.0,9.2,3.8,3.1,2.2,2.5,3.9,-1.2,9.2,-4.3,6.7,7.9,-5.6,-9.9,-8.2,3.1,-5.0,6.9,4.5,5.8,...
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge",Tekoce cene (mio EUR),100.8,111.7,125.8,143.4,179.5,207.7,234.6,264.5,279.9,293.7,311.5,317.4,362.7,379.2,428.0,488.8,413.9,363.7,321.3,351.5,305.8,336.6,349.4,386.2,...
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge",Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.6,1.5,1.5,1.6,1.8,1.9,1.9,2.0,1.9,1.9,1.9,1.9,1.9,1.9,2.1,2.3,1.9,1.7,1.5,1.6,1.4,1.5,1.5,1.5,-
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge",Stalne cene predhodnega leta (mio EUR),...,103.2,120.0,133.7,171.5,204.9,216.8,241.0,266.1,283.6,296.0,305.8,343.7,351.6,410.2,480.3,399.2,367.8,327.3,357.2,312.6,336.7,349.0,380.1,...
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge","Stalne cene, referencno leto 2010 (mio EUR)",222.0,227.4,244.4,259.7,310.6,354.5,370.2,380.2,382.6,387.6,390.6,383.5,415.3,402.6,435.5,488.8,399.2,354.8,319.3,355.0,315.7,347.6,360.5,392.2,...
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge",Letna sprememba obsega (%),...,2.4,7.5,6.3,19.6,14.1,4.4,2.7,0.6,1.3,0.8,-1.8,8.3,-3.1,8.2,12.2,-18.3,-11.1,-10.0,11.2,-11.1,10.1,3.7,8.8,...
..Tekstilni izdelki za gospodinjstvo,Tekoce cene (mio EUR),32.6,34.2,38.4,39.2,45.0,48.4,53.6,59.3,62.5,64.2,69.0,69.4,75.2,78.8,92.4,101.4,107.0,73.9,69.2,64.5,67.4,66.5,65.1,72.4,...
..Tekstilni izdelki za gospodinjstvo,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,-
..Tekstilni izdelki za gospodinjstvo,Stalne cene predhodnega leta (mio EUR),...,32.6,36.2,37.0,43.6,46.5,50.6,56.1,59.3,62.1,65.6,69.7,75.9,74.8,89.7,101.2,102.5,74.1,73.0,64.8,68.1,69.0,66.5,74.6,...
..Tekstilni izdelki za gospodinjstvo,"Stalne cene, referencno leto 2010 (mio EUR)",57.0,57.1,60.4,58.2,64.6,66.8,69.8,73.0,73.0,72.4,74.0,74.7,81.7,81.3,92.6,101.4,102.5,70.9,70.0,65.5,69.2,70.8,70.9,81.1,...
..Tekstilni izdelki za gospodinjstvo,Letna sprememba obsega (%),...,0.2,5.8,-3.6,11.1,3.3,4.5,4.5,-0.1,-0.7,2.1,0.9,9.4,-0.5,13.9,9.6,1.1,-30.8,-1.3,-6.4,5.6,2.3,0.1,14.5,...
..Gospodinjski aparati,Tekoce cene (mio EUR),78.9,89.3,101.0,112.1,128.5,138.8,154.7,161.1,177.1,201.0,223.7,233.2,265.7,273.6,278.1,305.5,304.7,286.8,243.6,236.4,236.9,265.5,269.9,257.6,...
..Gospodinjski aparati,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.3,1.1,1.1,1.1,1.2,1.1,1.0,-
..Gospodinjski aparati,Stalne cene predhodnega leta (mio EUR),...,84.8,95.9,106.0,131.4,131.3,148.5,156.1,169.0,198.7,220.6,230.3,258.4,267.4,273.2,307.6,304.9,290.0,249.1,245.5,242.0,266.5,276.8,261.2,...
..Gospodinjski aparati,"Stalne cene, referencno leto 2010 (mio EUR)",119.3,128.1,137.7,144.5,169.4,173.0,185.1,186.7,195.9,219.7,241.1,248.1,275.0,276.6,276.2,305.5,304.9,290.1,252.0,253.9,259.8,292.3,304.8,295.0,...
..Gospodinjski aparati,Letna sprememba obsega (%),...,7.4,7.5,5.0,17.2,2.1,6.9,0.9,4.9,12.2,9.7,2.9,10.8,0.6,-0.2,10.6,-0.2,-4.8,-13.2,0.8,2.3,12.5,4.3,-3.2,...
"..Steklenina, namizni pribor in gospodinjski primpomocki",Tekoce cene (mio EUR),51.3,57.7,59.5,66.1,71.6,79.1,84.6,86.0,90.2,82.0,89.1,96.0,118.4,79.3,80.3,85.4,90.0,84.5,83.1,86.3,79.6,85.0,91.9,105.9,...
"..Steklenina, namizni pribor in gospodinjski primpomocki",Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-
"..Steklenina, namizni pribor in gospodinjski primpomocki",Stalne cene predhodnega leta (mio EUR),...,54.2,56.4,63.9,68.5,75.6,80.2,80.4,84.4,76.2,85.2,90.9,112.5,69.4,78.3,84.2,86.9,84.2,81.8,87.7,80.5,84.8,92.6,107.1,...
"..Steklenina, namizni pribor in gospodinjski primpomocki","Stalne cene, referencno leto 2010 (mio EUR)",117.0,123.8,121.0,129.8,134.5,142.0,144.1,136.9,134.3,113.3,117.7,120.1,140.7,82.5,81.4,85.4,86.9,81.3,78.7,83.1,77.5,82.5,90.0,104.9,...
"..Steklenina, namizni pribor in gospodinjski primpomocki",Letna sprememba obsega (%),...,5.8,-2.2,7.3,3.6,5.6,1.4,-5.0,-1.9,-15.6,3.8,2.1,17.1,-41.4,-1.3,4.9,1.7,-6.4,-3.2,5.5,-6.8,6.5,9.1,16.6,...
..Orodje in oprema za hi?o in vrt,Tekoce cene (mio EUR),14.4,16.2,17.9,18.4,20.8,24.2,26.1,27.3,30.1,35.3,42.1,44.5,47.2,53.5,73.4,91.5,104.2,116.2,122.6,121.7,126.8,135.6,152.5,153.7,...
..Orodje in oprema za hi?o in vrt,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,-
..Orodje in oprema za hi?o in vrt,Stalne cene predhodnega leta (mio EUR),...,15.6,16.9,17.7,19.9,23.2,24.2,25.7,28.6,34.6,41.3,44.4,46.1,51.3,72.3,91.7,102.6,113.8,118.0,120.9,128.2,135.4,153.0,155.7,...
..Orodje in oprema za hi?o in vrt,"Stalne cene, referencno leto 2010 (mio EUR)",24.4,26.4,27.4,27.2,29.4,32.7,32.7,32.3,33.8,38.9,45.6,48.1,49.8,54.2,73.3,91.5,102.6,112.1,113.8,112.2,118.1,126.2,142.3,145.4,...
..Orodje in oprema za hi?o in vrt,Letna sprememba obsega (%),...,8.3,4.1,-0.9,8.1,11.3,-0.1,-1.2,4.8,15.0,17.3,5.5,3.6,8.8,35.2,24.8,12.2,9.2,1.5,-1.4,5.3,6.8,12.8,2.2,...
..Blago in storitve za tekoce vzdr?evanje stanovanj,Tekoce cene (mio EUR),93.5,100.4,115.6,121.4,131.9,153.6,173.3,198.3,215.3,224.0,232.6,232.5,262.0,282.3,316.0,305.7,310.9,276.4,256.6,253.2,226.9,225.1,228.4,250.4,...
..Blago in storitve za tekoce vzdr?evanje stanovanj,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.5,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.4,1.4,1.3,1.2,1.2,1.0,1.0,1.0,1.0,-
..Blago in storitve za tekoce vzdr?evanje stanovanj,Stalne cene predhodnega leta (mio EUR),...,95.7,107.8,117.7,125.7,149.3,156.4,189.9,206.6,221.0,226.9,215.1,247.8,268.6,299.5,303.7,304.4,269.5,254.2,254.1,226.3,222.5,226.7,246.0,...
..Blago in storitve za tekoce vzdr?evanje stanovanj,"Stalne cene, referencno leto 2010 (mio EUR)",187.0,191.4,205.5,209.2,216.7,245.2,249.8,273.7,285.1,292.7,296.5,274.3,292.3,299.7,318.0,305.7,304.4,263.9,242.7,240.4,214.8,210.7,212.2,228.6,...
..Blago in storitve za tekoce vzdr?evanje stanovanj,Letna sprememba obsega (%),...,2.3,7.4,1.8,3.6,13.2,1.9,9.6,4.1,2.7,1.3,-7.5,6.6,2.5,6.1,-3.9,-0.4,-13.3,-8.0,-1.0,-10.6,-1.9,0.7,7.7,...
Zdravstvo,Tekoce cene (mio EUR),149.9,188.9,225.5,252.8,286.9,350.6,395.5,449.6,494.1,520.4,565.8,587.6,645.5,710.8,749.5,782.3,785.1,850.7,854.7,842.0,847.8,872.7,900.9,963.9,...
Zdravstvo,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),2.3,2.6,2.7,2.8,2.8,3.2,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.6,3.7,3.6,3.9,4.0,3.9,3.9,3.8,3.8,3.8,-
Zdravstvo,Stalne cene predhodnega leta (mio EUR),...,170.0,210.5,235.7,271.2,327.0,354.8,422.9,468.7,506.3,559.6,583.3,635.3,686.9,720.5,768.1,771.8,851.2,861.7,846.0,842.2,869.0,899.5,945.5,...
Zdravstvo,"Stalne cene, referencno leto 2010 (mio EUR)",316.2,358.6,399.7,417.7,448.2,510.9,516.9,552.6,576.1,590.4,634.9,654.5,707.6,753.0,763.3,782.3,771.8,836.8,847.6,839.0,839.3,860.2,886.6,930.4,...
Zdravstvo,Letna sprememba obsega (%),...,13.4,11.5,4.5,7.3,14.0,1.2,6.9,4.3,2.5,7.5,3.1,8.1,6.4,1.4,2.5,-1.3,8.4,1.3,-1.0,0.0,2.5,3.1,4.9,...
"..Medicinski proizvodi, pripomocki in oprema",Tekoce cene (mio EUR),58.4,69.2,81.8,97.9,119.8,148.0,169.5,196.2,220.1,233.9,245.5,254.1,284.6,320.6,360.9,386.2,386.5,423.2,437.4,423.4,422.6,438.6,448.2,469.5,...
"..Medicinski proizvodi, pripomocki in oprema",Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.9,0.9,1.0,1.1,1.2,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.8,1.8,1.8,1.9,2.0,2.0,1.9,1.9,1.9,1.9,-
"..Medicinski proizvodi, pripomocki in oprema",Stalne cene predhodnega leta (mio EUR),...,63.4,76.9,91.5,113.3,134.3,152.8,185.4,210.2,233.6,247.1,256.3,286.1,318.7,355.0,378.4,385.8,414.2,436.8,423.4,422.7,438.9,446.7,471.7,...
"..Medicinski proizvodi, pripomocki in oprema","Stalne cene, referencno leto 2010 (mio EUR)",106.4,115.6,128.5,143.7,166.4,186.6,192.5,210.6,225.5,239.3,252.9,263.9,297.2,332.7,368.4,386.2,385.8,413.5,426.7,413.1,412.4,428.3,436.2,459.1,...
"..Medicinski proizvodi, pripomocki in oprema",Letna sprememba obsega (%),...,8.6,11.2,11.9,15.8,12.1,3.2,9.4,7.1,6.1,5.7,4.4,12.6,12.0,10.7,4.8,-0.1,7.2,3.2,-3.2,-0.2,3.9,1.8,5.2,...
..Zunajbolni?nicne storitve,Tekoce cene (mio EUR),78.9,89.7,108.6,118.4,125.5,146.6,161.0,185.7,205.1,215.5,237.3,248.7,273.9,292.0,284.3,295.1,288.5,315.5,305.0,300.9,304.0,314.4,325.5,355.5,...
..Zunajbolni?nicne storitve,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.2,1.2,1.3,1.3,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.5,1.4,1.4,1.4,1.4,1.4,1.4,-
..Zunajbolni?nicne storitve,Stalne cene predhodnega leta (mio EUR),...,80.8,99.8,110.3,118.5,139.5,143.8,173.8,193.4,205.2,231.4,243.5,264.3,277.2,267.9,282.9,278.2,317.7,308.8,302.5,299.4,311.0,324.2,341.6,...
..Zunajbolni?nicne storitve,"Stalne cene, referencno leto 2010 (mio EUR)",192.2,196.9,219.1,222.5,222.6,247.3,242.7,262.0,272.8,272.9,292.9,300.7,319.5,323.3,296.6,295.1,278.2,306.4,299.9,297.4,295.9,302.8,312.2,327.6,...
..Zunajbolni?nicne storitve,Letna sprememba obsega (%),...,2.4,11.3,1.5,0.1,11.1,-1.9,7.9,4.1,0.0,7.4,2.6,6.3,1.2,-8.3,-0.5,-5.7,10.1,-2.1,-0.8,-0.5,2.3,3.1,5.0,...
..Bolni?nicne storitve,Tekoce cene (mio EUR),12.6,30.0,35.1,36.5,41.6,56.0,65.0,67.6,68.8,71.0,83.1,84.8,86.9,98.2,104.3,101.0,110.1,111.9,112.2,117.6,121.3,119.7,127.3,139.0,...
..Bolni?nicne storitve,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.2,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,-
..Bolni?nicne storitve,Stalne cene predhodnega leta (mio EUR),...,25.8,33.8,34.0,39.4,53.3,58.2,63.6,65.2,67.5,81.1,83.5,84.9,91.0,97.6,106.9,107.8,119.3,116.0,120.1,120.1,119.0,128.7,132.1,...
..Bolni?nicne storitve,"Stalne cene, referencno leto 2010 (mio EUR)",27.8,56.8,64.0,61.8,66.8,85.5,88.8,87.0,83.8,82.2,93.9,94.5,94.6,99.1,98.5,101.0,107.8,116.8,121.0,129.6,132.3,129.8,139.5,144.9,...
..Bolni?nicne storitve,Letna sprememba obsega (%),...,104.5,12.6,-3.4,8.0,28.0,3.8,-2.1,-3.6,-1.9,14.3,0.6,0.1,4.8,-0.6,2.5,6.7,8.4,3.7,7.1,2.1,-1.9,7.5,3.8,...
Prevoz,Tekoce cene (mio EUR),1087.0,1231.7,1358.4,1465.4,1646.9,1689.7,1837.7,1961.1,2140.2,2337.4,2443.6,2539.7,2890.2,3212.4,3093.8,3189.0,3260.0,3367.4,3390.1,3463.0,3526.3,3634.2,3929.1,4237.0,...
Prevoz,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),17.0,16.8,16.5,16.3,16.3,15.5,15.2,14.7,14.8,15.2,15.1,15.1,15.5,15.9,15.0,15.0,15.0,15.5,15.9,16.0,16.0,15.9,16.5,16.9,-
Prevoz,Stalne cene predhodnega leta (mio EUR),...,1110.8,1253.8,1350.0,1543.5,1484.4,1673.0,1828.6,2051.1,2227.3,2373.4,2507.7,2879.4,3100.5,3197.9,3105.6,3181.9,3186.5,3360.1,3467.4,3754.9,3783.2,3829.0,4157.4,...
Prevoz,"Stalne cene, referencno leto 2010 (mio EUR)",2392.3,2444.7,2488.6,2473.2,2605.1,2348.0,2324.8,2313.3,2419.4,2517.9,2556.7,2623.9,2974.9,3191.3,3176.9,3189.0,3181.9,3110.2,3103.5,3174.3,3441.9,3692.7,3890.6,4116.6,...
Prevoz,Letna sprememba obsega (%),...,2.2,1.8,-0.6,5.3,-9.9,-1.0,-0.5,4.6,4.1,1.5,2.6,13.4,7.3,-0.5,0.4,-0.2,-2.3,-0.2,2.3,8.4,7.3,5.4,5.8,...
..Nakup prevoznih sredstev,Tekoce cene (mio EUR),553.2,582.9,604.3,645.8,727.5,626.7,625.2,689.9,796.7,902.8,883.4,911.0,1062.2,1169.1,974.9,869.2,823.6,687.0,654.9,673.7,856.2,957.2,1155.9,1191.9,...
..Nakup prevoznih sredstev,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),8.7,7.9,7.3,7.2,7.2,5.7,5.2,5.2,5.5,5.9,5.4,5.4,5.7,5.8,4.7,4.1,3.8,3.2,3.1,3.1,3.9,4.2,4.9,4.8,-
..Nakup prevoznih sredstev,Stalne cene predhodnega leta (mio EUR),...,526.1,583.9,624.0,702.0,537.9,597.7,654.0,761.3,880.1,928.8,972.8,1102.7,1163.9,1031.4,976.8,866.4,714.4,675.2,678.7,872.5,980.4,1182.2,1228.8,...
..Nakup prevoznih sredstev,"Stalne cene, referencno leto 2010 (mio EUR)",680.4,647.1,648.3,669.4,727.7,538.1,513.2,536.8,592.4,654.4,673.3,741.4,897.4,983.3,867.5,869.2,866.4,751.5,738.7,765.5,991.4,1135.1,1401.9,1490.3,...
..Nakup prevoznih sredstev,Letna sprememba obsega (%),...,-4.9,0.2,3.3,8.7,-26.1,-4.6,4.6,10.4,10.5,2.9,10.1,21.0,9.6,-11.8,0.2,-0.3,-13.3,-1.7,3.6,29.5,14.5,23.5,6.3,...
..Proizvodi in storitve za osebna vozila,Tekoce cene (mio EUR),451.4,547.6,645.5,698.8,789.6,915.9,1053.0,1103.3,1169.7,1249.9,1367.9,1434.5,1618.1,1796.1,1887.7,2095.1,2205.9,2443.8,2491.2,2548.6,2415.5,2429.3,2518.8,2781.4,...
..Proizvodi in storitve za osebna vozila,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),7.1,7.5,7.8,7.8,7.8,8.4,8.7,8.3,8.1,8.1,8.4,8.5,8.7,8.9,9.2,9.9,10.1,11.2,11.7,11.8,11.0,10.7,10.6,11.1,-
..Proizvodi in storitve za osebna vozila,Stalne cene predhodnega leta (mio EUR),...,499.4,566.7,615.0,718.3,816.2,932.5,1022.7,1125.7,1175.2,1251.1,1344.1,1570.1,1696.3,1936.4,1906.8,2087.8,2237.5,2431.5,2557.3,2622.9,2554.1,2392.4,2662.0,...
..Proizvodi in storitve za osebna vozila,"Stalne cene, referencno leto 2010 (mio EUR)",1451.0,1605.2,1661.4,1582.8,1627.0,1681.8,1712.2,1663.1,1696.8,1704.8,1706.4,1676.7,1835.2,1923.8,2074.2,2095.1,2087.8,2117.7,2107.1,2163.0,2226.0,2353.7,2318.0,2449.8,...
..Proizvodi in storitve za osebna vozila,Letna sprememba obsega (%),...,10.6,3.5,-4.7,2.8,3.4,1.8,-2.9,2.0,0.5,0.1,-1.7,9.5,4.8,7.8,1.0,-0.3,1.4,-0.5,2.7,2.9,5.7,-1.5,5.7,...
..Prevozne storitve,Tekoce cene (mio EUR),82.4,101.2,108.6,120.9,129.8,147.0,159.6,167.9,173.8,184.7,192.2,194.2,209.9,247.2,231.1,224.7,230.5,236.5,244.0,240.8,254.5,247.7,254.5,263.8,...
..Prevozne storitve,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.3,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.1,-
..Prevozne storitve,Stalne cene predhodnega leta (mio EUR),...,85.2,103.1,110.9,123.2,130.3,142.7,151.9,164.1,172.1,193.5,190.9,206.6,240.3,230.0,222.0,227.7,234.6,253.4,231.4,259.6,248.7,254.4,266.6,...
..Prevozne storitve,"Stalne cene, referencno leto 2010 (mio EUR)",201.2,208.2,212.2,216.9,221.1,222.0,215.5,205.1,200.4,198.4,207.8,206.4,219.7,251.4,234.0,224.7,227.7,231.8,248.2,235.5,253.9,248.1,254.8,266.9,...
..Prevozne storitve,Letna sprememba obsega (%),...,3.5,1.9,2.2,2.0,0.4,-2.9,-4.8,-2.3,-1.0,4.8,-0.7,6.4,14.5,-6.9,-4.0,1.3,1.8,7.1,-5.1,7.8,-2.3,2.7,4.7,...
Komunikacije,Tekoce cene (mio EUR),114.2,141.7,158.9,173.7,215.7,247.3,298.5,401.8,438.5,502.0,570.7,580.5,601.9,643.8,677.9,679.2,712.3,690.6,698.7,694.7,670.4,666.2,666.6,715.0,...
Komunikacije,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.8,1.9,1.9,1.9,2.1,2.3,2.5,3.0,3.0,3.3,3.5,3.4,3.2,3.2,3.3,3.2,3.3,3.2,3.3,3.2,3.0,2.9,2.8,2.9,-
Komunikacije,Stalne cene predhodnega leta (mio EUR),...,120.9,148.4,174.9,205.7,230.7,271.3,364.0,432.9,501.9,571.5,578.8,600.1,639.0,706.4,671.3,707.8,707.3,709.9,713.2,667.6,648.9,666.1,713.2,...
Komunikacije,"Stalne cene, referencno leto 2010 (mio EUR)",193.5,204.8,214.5,236.0,279.5,299.0,328.0,400.0,430.9,493.2,561.5,569.5,588.8,625.1,685.9,679.2,707.8,702.9,722.5,737.5,708.7,686.0,685.9,733.8,...
Komunikacije,Letna sprememba obsega (%),...,5.9,4.7,10.0,18.4,7.0,9.7,21.9,7.7,14.5,13.8,1.4,3.4,6.2,9.7,-1.0,4.2,-0.7,2.8,2.1,-3.9,-3.2,0.0,7.0,...
..Po?tne storitve,Tekoce cene (mio EUR),2.9,3.1,3.6,4.2,5.4,6.1,8.7,8.8,10.3,12.2,13.7,14.1,13.7,14.9,14.7,16.2,15.6,15.0,14.3,14.5,15.4,16.4,17.4,19.5,...
..Po?tne storitve,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-
..Po?tne storitve,Stalne cene predhodnega leta (mio EUR),...,2.9,3.4,4.0,4.8,5.4,6.7,7.1,9.3,10.7,12.2,14.2,13.6,13.9,14.1,15.5,16.3,14.9,14.2,14.0,14.8,16.1,16.3,18.7,...
..Po?tne storitve,"Stalne cene, referencno leto 2010 (mio EUR)",11.2,11.5,12.7,13.9,15.8,15.9,17.5,14.4,15.3,15.9,15.9,16.5,15.9,16.3,15.3,16.2,16.3,15.5,14.7,14.4,14.7,15.3,15.3,16.5,...
